"videostatsid","ytvideoid","views","comments","likes","dislikes","timestamp"
"228","zIG2yCvG3TI","297507","678","2136","195","2019-04-15 05:00:16"
"229","-9txATEWXTQ","7115594","36450","412147","12999","2019-04-15 05:00:17"
"230","DfggRtdOiTE","849783","2734","5196","204","2019-04-15 05:00:17"
"231","t0t9dul8bOw","1201820","4567","27078","927","2019-04-15 05:00:18"
"232","O8CCQopoCAE","540188","4393","40810","429","2019-04-15 05:00:18"
"233","pY8O7-mpdUk","1198758","3745","10634","1969","2019-04-15 05:00:19"
"234","BPExj-3kaAc","833431","7842","29592","433","2019-04-15 05:00:19"
"235","TW-kag5GG9s","631450","2811","22310","503","2019-04-15 05:00:20"
"236","zaWyIKas2Ww","235459","536","1402","50","2019-04-15 05:00:20"
"237","uv9kDcbJLi8","945267","2601","53036","990","2019-04-15 05:00:21"
"238","f2AuCmxtOSA","407023","2161","21236","335","2019-04-15 05:00:21"
"239","81UpjkAuHJM","344542","642","6088","272","2019-04-15 05:00:22"
"240","NJo8CjVpIEw","885151","2427","7915","1166","2019-04-15 05:00:22"
"241","NbhiGb_pZ-g","2246304","14616","123504","1867","2019-04-15 05:00:23"
"242","HkdPYRxYMdc","1444190","6359","56667","1850","2019-04-15 05:00:23"
"243","f5bJ5acwZtI","1983231","18975","210988","4155","2019-04-15 05:00:24"
"244","LLR0jg7Xu9M","623665","525","11971","156","2019-04-15 05:00:25"
"245","0flfyCjIh8M","955348","2552","20160","360","2019-04-15 05:00:25"
"246","QaZ93sibpk0","21384575","51618","546377","38171","2019-04-15 05:00:25"
"247","mQ2fJ_aM_T0","1231279","5775","53207","623","2019-04-15 05:00:26"
"248","26EivpCPHnQ","2855645","20964","130473","1313","2019-04-15 05:00:27"
"249","cKiX2rUB6sY","517077","3571","35013","1036","2019-04-15 05:00:28"
"250","IdzY6lcCiCM","702463","2835","24390","266","2019-04-15 05:00:28"
"251","MdVTBGEuxhM","900285","2064","31628","707","2019-04-15 05:00:28"
"252","bQ3gBKDa8RY","1292991","1891","34658","466","2019-04-15 05:00:29"
"253","_cdt2CLalhA","605847","1886","17627","3425","2019-04-15 05:00:29"
"254","SR5kfWXfxto","6987936","34416","224170","3461","2019-04-15 05:00:30"
"255","ZEWGyyLiqY4","799639","1588","20148","531","2019-04-15 05:00:31"
"256","OzUXonhJo3Y","1791251","4356","43477","1158","2019-04-15 05:00:31"
"257","QZsthdsh6yk","33883743","84308","707068","189253","2019-04-15 05:00:32"
"258","r7CWEE3ZAWs","5887755","25681","317398","12834","2019-04-15 05:00:32"
"259","YSJlU2q58Bc","5621690","6344","189227","2502","2019-04-15 05:00:32"
"260","550f3BEWEwQ","445965","517","5547","254","2019-04-15 05:00:33"
"261","YPZ1f52jlm8","382547","828","18751","223","2019-04-15 05:00:33"
"262","UoUeBLp5KlI","946831","3464","21391","835","2019-04-15 05:00:34"
"263","LKtajrJUggU","542917","1103","9598","297","2019-04-15 05:00:34"
"264","81UOofW82FY","9486806","15992","302164","2659","2019-04-15 05:00:35"
"265","T4Q0pElKWY0","3350538","17675","235380","1236","2019-04-15 05:00:36"
"266","8SGbIHoKewM","787763","1233","11645","516","2019-04-15 05:00:36"
"267","198gzllaumo","13682855","15383","293803","6101","2019-04-15 05:00:37"
"268","3_ZSwppz2ak","560057","2183","20230","407","2019-04-15 05:00:38"
"269","7TavVZMewpY","23755552","45722","489821","20625","2019-04-15 05:00:38"
"270","6cFAYjQw2CA","1841407","6686","29166","1095","2019-04-15 05:00:39"
"271","5HoE9Tn5oug","1454559","4901","92007","558","2019-04-15 05:00:39"
"272","Ms5yMta2p9A","2323617","7752","207875","1428","2019-04-15 05:00:40"
"273","-ze37NCz5oI","923486","6091","36490","296","2019-04-15 05:00:41"
"274","jjanTQjvkUM","396014","849","2848","229","2019-04-15 05:00:41"
"275","kQ1xE4sK9Qk","1054632","1482","22855","446","2019-04-15 05:00:42"
"276","iVn37ndpkIc","367977","1510","7527","165","2019-04-15 05:00:42"
"277","KUaVjms6yyY","4795127","14806","245893","4317","2019-04-15 05:00:43"
"278","RQOhAeNAjKc","889918","4103","38068","467","2019-04-15 05:00:43"
"279","Kb1a3OSVjXk","1699490","1398","39983","518","2019-04-15 05:00:44"
"280","nyU2mFp3ru0","190815","418","3123","102","2019-04-15 05:00:44"
"281","pAoEHR4aW8I","4909464","15988","133939","3787","2019-04-15 05:00:44"
"282","S_GVbuddri8","5126082","24201","212088","2660","2019-04-15 05:00:45"
"283","D3nT0piQDgA","1198975","5516","68405","3155","2019-04-15 05:00:45"
"284","29Uy9z0lzcw","1398742","7398","55105","2186","2019-04-15 05:00:46"
"285","15odjKT7MPA","790342","1393","6211","193","2019-04-15 05:00:46"
"286","u8tdT5pAE34","7237071","50143","533114","2839","2019-04-15 05:00:47"
"287","17A_wsy6WX0","2397123","17530","248686","7511","2019-04-15 05:00:48"
"288","W_VzAap2vl0","1209640","5956","14727","1331","2019-04-15 05:00:48"
"289","tV1S5mKN_b8","920151","4151","32462","1104","2019-04-15 05:00:49"
"290","HUsIcK1a4B0","5161488","11979","262345","2795","2019-04-15 05:00:49"
"291","z5MCMhXSdQM","639526","1378","4729","277","2019-04-15 05:00:50"
"292","AkK_n5Q8M38","1062944","3721","33997","1155","2019-04-15 05:00:50"
"293","LL2jKGvyC8Y","200765","763","1738","71","2019-04-15 05:00:51"
"294","m1MewpFNBdc","1919378","8831","181992","1557","2019-04-15 05:00:52"
"295","ECdQ6OV-rkU","2223227","4172","60146","525","2019-04-15 05:00:52"
"296","N2DdOs5OhxY","1100596","3999","49254","916","2019-04-15 05:00:53"
"297","zxVmyC5xqUE","421828","3121","10128","442","2019-04-15 05:00:53"
"298","0GLbwkfhYZk","5762402","28274","185869","10930","2019-04-15 05:15:03"
"299","O4NB73HTlxI","3736071","31744","279779","4761","2019-04-15 05:15:04"
"300","VVRcXtSjPcE","263277","1037","4644","87","2019-04-15 05:15:04"
"301","adzYW5DZoWs","21624713","79298","478966","61784","2019-04-15 05:15:05"
"302","p_8yK2kmxoo","2439130","10745","134268","1337","2019-04-15 05:15:05"
"303","g7itQNVeFB4","563650","4123","20006","1116","2019-04-15 05:15:06"
"304","BJzJtm7OfdQ","746721","5586","54643","789","2019-04-15 05:15:07"
"305","qOkZiVlQHMs","713107","1521","16701","193","2019-04-15 05:15:07"
"306","I47_jCtfYlE","1245322","5030","15030","454","2019-04-15 05:15:08"
"307","5jDsPkPjVK4","542298","3320","24118","829","2019-04-15 05:15:08"
"308","C4_UntN6O2A","737564","2992","30515","404","2019-04-15 05:15:09"
"309","a5vg_Yi42Ok","1366007","3740","36134","1334","2019-04-15 05:15:09"
"310","CikXQvz57ZU","374025","738","8281","210","2019-04-15 05:15:10"
"311","2x8guH7hsgc","2120824","31808","37988","26444","2019-04-15 05:15:10"
"312","AFWIu243KY8","221712","461","1479","131","2019-04-15 05:15:11"
"313","h3P5Hrblbe0","227255","462","14536","44","2019-04-15 05:15:11"
"314","VSPuRXkUWoU","1514823","8844","231291","432","2019-04-15 05:15:12"
"315","AJKDh52Ehac","217497","1040","6705","141","2019-04-15 05:15:12"
"316","KMwuyXQcWfI","559789","993","6877","181","2019-04-15 05:15:13"
"317","u5jugGl_pu0","581036","3145","55899","134","2019-04-15 05:15:13"
"318","kOd19ljsklQ","2469234","10696","117181","969","2019-04-15 05:15:14"
"319","_aHE8lgalJU","170274","6243","20353","63","2019-04-15 05:15:14"
"320","04WYGo4rfdw","932805","2005","15147","558","2019-04-15 05:15:15"
"321","QuderoyWqII","6736399","40762","326575","10970","2019-04-15 05:15:15"
"322","zKfmiAYiC-M","1535404","4784","24691","1368","2019-04-15 05:15:16"
"323","6gfh2UfcJFw","353015","1462","18733","175","2019-04-15 05:15:16"
"324","nKh_yq627WM","534664","7519","47661","348","2019-04-15 05:15:17"
"325","XsX3ATc3FbA","128172143","2753147","8049865","335682","2019-04-15 05:15:17"
"326","mWkP7esvuiw","1073600","1781","14296","254","2019-04-15 05:15:18"
"327","zIG2yCvG3TI","297747","678","2139","195","2019-04-15 05:15:18"
"328","-9txATEWXTQ","7118513","36443","412309","13006","2019-04-15 05:15:19"
"329","DfggRtdOiTE","850891","2734","5206","205","2019-04-15 05:15:19"
"330","t0t9dul8bOw","1203695","4562","27113","931","2019-04-15 05:15:20"
"331","O8CCQopoCAE","540415","4398","40846","429","2019-04-15 05:15:20"
